data;curs
29.06.2021;72,1777
26.06.2021;72,1694
25.06.2021;72,3260
24.06.2021;72,6671
23.06.2021;73,1661
22.06.2021;73,1987
19.06.2021;72,2216
18.06.2021;72,5048
17.06.2021;72,0323
16.06.2021;71,8318
12.06.2021;71,6797
11.06.2021;72,1974
10.06.2021;72,0829
09.06.2021;72,8256
08.06.2021;72,9294
05.06.2021;73,2721
04.06.2021;73,2636
03.06.2021;73,4979
02.06.2021;73,2411
01.06.2021;73,2965
29.05.2021;73,5870
28.05.2021;73,4580
27.05.2021;73,4737
26.05.2021;73,3963
25.05.2021;73,5266
22.05.2021;73,5803
21.05.2021;73,6007
20.05.2021;73,6778
19.05.2021;73,6992
18.05.2021;73,8537
15.05.2021;73,9968
14.05.2021;74,3566
13.05.2021;74,0400
12.05.2021;74,1567
08.05.2021;74,1373
07.05.2021;74,5770
06.05.2021;74,8617
05.05.2021;75,2567
01.05.2021;74,8451
30.04.2021;74,3823
29.04.2021;74,9390
28.04.2021;74,9578
27.04.2021;74,7680
24.04.2021;75,0893
23.04.2021;76,4217
22.04.2021;76,8198
21.04.2021;76,0155
20.04.2021;76,2491
17.04.2021;75,5535
16.04.2021;76,9808
15.04.2021;75,6826
14.04.2021;77,2535
13.04.2021;77,5104
10.04.2021;77,1657
09.04.2021;77,1011
08.04.2021;77,7730
07.04.2021;76,3802
06.04.2021;76,6052
03.04.2021;76,0734
02.04.2021;75,8073
01.04.2021;75,6373
31.03.2021;75,7023
30.03.2021;75,8287
27.03.2021;75,7576
26.03.2021;76,1741
25.03.2021;76,1535
24.03.2021;75,3585
23.03.2021;74,6085
20.03.2021;74,1390
19.03.2021;73,6582
18.03.2021;73,1019
17.03.2021;72,9619
16.03.2021;73,2317
13.03.2021;73,5081
12.03.2021;73,4996
11.03.2021;74,0393
10.03.2021;74,2640
06.03.2021;74,4275
05.03.2021;73,7864
04.03.2021;73,5187
03.03.2021;74,5755
02.03.2021;74,0448
27.02.2021;74,4373
26.02.2021;73,4747
25.02.2021;73,7532
21.02.2021;73,9833
20.02.2021;73,9717
19.02.2021;73,7755
18.02.2021;73,7669
17.02.2021;73,2895
16.02.2021;73,3092
13.02.2021;73,9378
12.02.2021;73,7579
11.02.2021;73,8526
10.02.2021;74,1192
09.02.2021;74,2602
06.02.2021;75,1107
05.02.2021;75,7293
04.02.2021;76,0801
03.02.2021;75,9051
02.02.2021;75,5053
30.01.2021;76,2527
29.01.2021;76,1854
28.01.2021;75,0400
27.01.2021;75,6354
26.01.2021;74,8569
23.01.2021;74,3615
22.01.2021;73,3694
21.01.2021;73,3550
20.01.2021;73,7243
19.01.2021;73,9735
16.01.2021;73,5453
15.01.2021;73,7961
14.01.2021;73,5264
13.01.2021;74,2663
12.01.2021;74,5157
01.01.2021;73,8757
31.12.2020;73,8757
30.12.2020;73,6567
29.12.2020;73,7175
26.12.2020;73,6921
25.12.2020;74,8392
24.12.2020;75,4571
23.12.2020;75,3498
22.12.2020;74,6721
19.12.2020;73,3155
18.12.2020;72,9781
17.12.2020;73,4201
16.12.2020;73,4453
15.12.2020;72,9272
12.12.2020;73,1195
11.12.2020;73,7124
10.12.2020;73,3057
09.12.2020;73,6618
08.12.2020;74,2506
05.12.2020;74,2529
04.12.2020;75,1996
03.12.2020;75,6151
02.12.2020;76,3203
01.12.2020;76,1999
28.11.2020;75,8599
27.11.2020;75,4518
26.11.2020;75,4727
25.11.2020;75,8146
24.11.2020;75,7600
21.11.2020;76,0120
20.11.2020;76,2627
19.11.2020;75,9268
18.11.2020;76,2530
17.11.2020;76,9197
14.11.2020;77,3262
13.11.2020;77,1148
12.11.2020;76,2075
11.11.2020;76,3978
10.11.2020;76,9515
07.11.2020;77,1875
06.11.2020;78,4559
04.11.2020;80,0006
03.11.2020;80,5749
31.10.2020;79,3323
30.10.2020;78,8699
29.10.2020;77,5520
28.10.2020;76,4556
27.10.2020;76,4443
24.10.2020;76,4667
23.10.2020;77,0809
22.10.2020;77,0322
21.10.2020;77,7780
20.10.2020;77,9241
17.10.2020;77,9644
16.10.2020;77,9461
15.10.2020;77,2759
14.10.2020;77,2855
13.10.2020;77,0239
10.10.2020;77,0284
09.10.2020;77,9157
08.10.2020;78,0921
07.10.2020;78,5119
06.10.2020;78,1281
03.10.2020;78,0915
02.10.2020;77,2774
01.10.2020;78,7847
30.09.2020;79,6845
29.09.2020;78,6713
26.09.2020;76,8195
25.09.2020;77,1780
24.09.2020;76,3545
23.09.2020;76,2711
22.09.2020;76,0381
19.09.2020;75,0319
18.09.2020;75,1941
17.09.2020;74,9278
16.09.2020;75,1884
15.09.2020;74,7148
12.09.2020;74,8896
11.09.2020;75,5274
10.09.2020;76,0713
09.09.2020;75,9645
08.09.2020;75,5910
05.09.2020;75,1823
04.09.2020;75,4680
03.09.2020;73,8588
02.09.2020;73,5849
01.09.2020;73,8039
29.08.2020;74,6382
28.08.2020;75,2354
27.08.2020;75,5379
26.08.2020;74,5126
25.08.2020;74,4184
22.08.2020;74,0999
21.08.2020;73,7711
20.08.2020;73,2392
19.08.2020;73,4321
18.08.2020;72,9676
15.08.2020;73,2157
14.08.2020;73,6067
13.08.2020;73,2351
12.08.2020;73,1522
11.08.2020;73,7750
08.08.2020;73,6376
07.08.2020;73,0397
06.08.2020;73,2806
05.08.2020;73,3806
04.08.2020;74,1586
01.08.2020;73,4261
31.07.2020;73,3633
30.07.2020;72,2348
29.07.2020;71,9196
28.07.2020;71,5850
25.07.2020;71,5974
24.07.2020;70,9630
23.07.2020;70,7881
22.07.2020;70,9668
21.07.2020;71,9628
18.07.2020;71,7139
17.07.2020;71,2310
16.07.2020;70,7998
15.07.2020;71,1275
14.07.2020;70,7479
11.07.2020;71,2298
10.07.2020;70,8800
09.07.2020;71,2379
08.07.2020;72,1719
07.07.2020;71,3409
04.07.2020;70,4999
03.07.2020;70,5198
02.07.2020;70,4413
01.07.2020;70,4413
30.06.2020;69,9513
27.06.2020;69,1284
26.06.2020;69,4660
25.06.2020;68,8376
24.06.2020;68,8376
23.06.2020;69,4835
20.06.2020;69,5725
19.06.2020;69,6180
18.06.2020;69,4822
17.06.2020;69,7524
16.06.2020;70,3950
12.06.2020;69,1219
11.06.2020;68,6183
10.06.2020;68,6745
09.06.2020;68,3123
06.06.2020;68,6319
05.06.2020;69,0151
04.06.2020;68,3413
03.06.2020;68,9831
02.06.2020;69,7114
30.05.2020;70,7520
29.05.2020;71,1012
28.05.2020;71,0635
27.05.2020;71,1408
26.05.2020;71,5962
23.05.2020;71,8804
22.05.2020;70,9240
21.05.2020;72,3381
20.05.2020;72,3918
19.05.2020;72,9798
16.05.2020;73,2056
15.05.2020;73,9298
14.05.2020;73,5819
13.05.2020;73,4326
09.05.2020;73,8725
08.05.2020;74,1169
07.05.2020;73,9719
01.05.2020;72,7263
30.04.2020;73,6894
29.04.2020;74,5706
28.04.2020;74,4960
25.04.2020;74,7163
24.04.2020;75,1290
23.04.2020;77,0416
22.04.2020;76,2562
21.04.2020;74,6657
18.04.2020;73,9441
17.04.2020;74,7119
16.04.2020;73,7145
15.04.2020;73,3150
14.04.2020;73,5245
11.04.2020;73,7515
10.04.2020;74,6050
09.04.2020;75,7499
08.04.2020;75,4550
07.04.2020;76,4074
28.03.2020;77,7325
27.03.2020;78,7223
26.03.2020;77,7928
25.03.2020;78,8493
24.03.2020;80,8815
21.03.2020;78,0443
20.03.2020;80,1570
19.03.2020;77,2131
18.03.2020;73,8896
17.03.2020;74,1262
14.03.2020;73,1882
13.03.2020;74,0274
12.03.2020;71,4720
11.03.2020;72,0208
07.03.2020;67,5175
06.03.2020;66,1854
05.03.2020;66,0784
04.03.2020;66,4437
03.03.2020;66,3274
29.02.2020;66,9909
28.02.2020;65,6097
27.02.2020;65,5177
26.02.2020;64,9213
22.02.2020;64,3008
21.02.2020;63,7413
20.02.2020;63,6873
19.02.2020;63,7698
18.02.2020;63,3085
15.02.2020;63,4536
14.02.2020;63,6016
13.02.2020;63,0470
12.02.2020;63,9490
11.02.2020;63,7708
08.02.2020;63,4720
07.02.2020;62,7977
06.02.2020;63,1742
05.02.2020;63,4342
04.02.2020;63,9091
01.02.2020;63,1385
31.01.2020;63,0359
30.01.2020;62,3934
29.01.2020;62,8299
28.01.2020;62,3380
25.01.2020;61,8031
24.01.2020;61,9515
23.01.2020;61,8343
22.01.2020;61,8552
21.01.2020;61,4654
18.01.2020;61,5333
17.01.2020;61,5694
16.01.2020;61,4328
15.01.2020;61,4140
14.01.2020;60,9474
11.01.2020;61,2632
10.01.2020;61,2340
01.01.2020;61,9057
31.12.2019;61,9057
28.12.2019;62,0315
27.12.2019;61,7676
26.12.2019;61,7164
25.12.2019;62,1673
24.12.2019;62,2499
21.12.2019;62,4071
20.12.2019;62,5283
19.12.2019;62,5831
18.12.2019;62,5326
17.12.2019;62,7686
14.12.2019;62,5544
13.12.2019;63,2257
12.12.2019;63,5653
11.12.2019;63,5788
10.12.2019;63,7244
07.12.2019;63,7185
06.12.2019;63,8135
05.12.2019;64,1948
04.12.2019;64,1401
03.12.2019;64,4097
30.11.2019;64,0817
29.11.2019;64,1005
28.11.2019;63,9722
27.11.2019;64,0239
26.11.2019;63,7637
23.11.2019;63,7101
22.11.2019;63,8430
